"","Metro_Area"
"297","San Francisco-Oakland-Hayward, CA M.S.A."
"298","Oakland-Hayward-Berkeley, CA M.D."
"299","San Francisco-Redwood City-South San Francisco, CA M.D."
"300","San Rafael, CA M.D."
"301","San Jose-Sunnyvale-Santa Clara, CA M.S.A."
"302","San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A."
"303","Santa Cruz-Watsonville, CA M.S.A."
"304","Santa Maria-Santa Barbara, CA M.S.A."
"305","Santa Rosa, CA M.S.A."
"306","Savannah, GA M.S.A."
"307","Seattle-Tacoma-Bellevue, WA M.S.A.2"
"308","Seattle-Bellevue-Everett, WA M.D.2"
"309","Tacoma-Lakewood, WA M.D."
"310","Sebastian-Vero Beach, FL M.S.A."
"311","Sebring, FL M.S.A."
"312","Sheboygan, WI M.S.A."
"313","Sherman-Denison, TX M.S.A."
"314","Shreveport-Bossier City, LA M.S.A."
"315","Sioux City, IA-NE-SD M.S.A.2"
"316","Sioux Falls, SD M.S.A."
"317","South Bend-Mishawaka, IN-MI M.S.A."
"318","Spartanburg, SC M.S.A."
"319","Spokane-Spokane Valley, WA M.S.A."
"320","Springfield, IL M.S.A."
"321","Springfield, MA M.S.A."
"322","Springfield, MO M.S.A."
"323","Springfield, OH M.S.A."
"324","State College, PA M.S.A."
"325","Staunton-Waynesboro, VA M.S.A."
"326","St. Cloud, MN M.S.A."
"327","St. George, UT M.S.A."
"328","St. Joseph, MO-KS M.S.A."
"329","St. Louis, MO-IL M.S.A.2"
"330","Stockton-Lodi, CA M.S.A."
"331","Sumter, SC M.S.A."
"332","Syracuse, NY M.S.A."
"333","Tallahassee, FL M.S.A."
"334","Tampa-St. Petersburg-Clearwater, FL M.S.A."
"335","Texarkana, TX-AR M.S.A."
"336","The Villages, FL M.S.A."
"337","Toledo, OH M.S.A.2"
"338","Topeka, KS M.S.A."
"339","Trenton, NJ M.S.A.2"
"340","Tucson, AZ M.S.A."
"341","Tulsa, OK M.S.A.2"
"342","Tuscaloosa, AL M.S.A."
