Table 9,,,,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement ,,,,,,, ,,, ,,,,,,,,
"by State by University and College, 2015",,,,,,,,,,,,,,,,,,
State,University/College ,Campus,"Studentenrollment1","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)2","Rape(legacydefinition)3",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson4,,,,
,University of West Florida,,"12,602",8,0,5,,0,3,59,10,48,1,0,,,,
GEORGIA,Abraham Baldwin Agricultural College,,"3,458",0,0,,0,0,0,31,1,30,0,0,,,,
,Agnes Scott College,,873,0,0,,0,0,0,7,0,5,2,0,,,,
,Albany State University,,"3,910",4,0,,2,1,1,47,2,45,0,0,,,,
,Andrew College,,303,0,0,,0,0,0,13,3,10,0,0,,,,
,Armstrong Atlantic State University,,"7,094",1,0,,0,0,1,50,5,43,2,0,,,,
,Augusta Technical College,,"4,269",0,0,,0,0,0,8,0,8,0,0,,,,
,Bainbridge State College,,"2,470",0,0,,0,0,0,0,0,0,0,0,,,,
,Berry College,,"2,177",0,0,,0,0,0,49,6,43,0,0,,,,
,Chattahoochee Technical College,,"9,942",0,0,,0,0,0,6,0,6,0,0,,,,
,Clayton State University,,"7,022",4,1,,2,0,1,28,3,24,1,0,,,,
,College of Coastal Georgia,,"3,008",0,0,,0,0,0,14,3,11,0,0,,,,
,Columbus State University,,"8,192",5,0,,4,1,0,44,5,39,0,0,,,,
,Dalton State College,,"4,854",0,0,,0,0,0,8,2,6,0,0,,,,
,Darton State College,,"5,623",1,0,,0,1,0,28,1,27,0,0,,,,
,Emory University,,"14,769",10,0,,8,0,2,437,22,403,12,0,,,,
,Fort Valley State University,,"2,594",1,0,,1,0,0,21,0,21,0,0,,,,
,Georgia College and State University,,"6,772",2,0,,2,0,0,84,7,69,8,0,,,,
,Georgia Institute of Technology,,"23,109",13,0,,1,8,4,341,27,298,16,0,,,,
,Georgia Military College,,"7,262",0,0,,0,0,0,3,0,3,0,0,,,,
,Georgia Perimeter College,,"21,371",1,0,,0,1,0,76,1,74,1,0,,,,
,Georgia Regents University,,"7,988",2,0,,0,1,1,107,1,103,3,0,,,,
,Georgia Southern University,,"20,517",7,0,,3,3,1,135,4,131,0,0,,,,
,Georgia Southwestern State University,,"2,666",2,0,,0,0,2,63,1,60,2,0,,,,
,Georgia State University,,"32,556",20,0,,2,14,4,261,6,249,6,0,,,,
,Gordon State College,,"4,047",2,0,,0,2,0,25,1,24,0,0,,,,
,Gwinnett Technical College,,"7,234",0,0,,0,0,0,10,0,10,0,0,,,,
,Kennesaw State University,,"25,714",12,0,,6,1,5,213,15,192,6,0,,,,
,Mercer University,,"8,552",2,0,,0,0,2,79,7,70,2,0,,,,
,Middle Georgia State College,,"7,927",5,0,,3,0,2,27,5,22,0,0,,,,
,Piedmont College,,"2,120",0,0,,0,0,0,0,0,0,0,0,,,,
,Savannah State University,,"4,915",13,1,,0,6,6,174,29,143,2,1,,,,
,Southern Crescent Technical College,,"4,898",0,0,,0,0,0,8,1,7,0,0,,,,
,South Georgia State College,,"2,611",0,0,,0,0,0,11,4,7,0,0,,,,
,Spelman College,,"2,135",0,0,,0,0,0,24,3,21,0,0,,,,
,University of Georgia,,"35,197",20,0,,12,3,5,378,41,333,4,0,,,,
,University of North Georgia,,"16,064",1,0,,1,0,0,30,0,28,2,0,,,,
,University of West Georgia,,"12,206",5,0,,0,4,1,122,21,101,0,0,,,,
,Valdosta State University,,"11,563",6,0,,0,6,0,114,13,99,2,0,,,,
,West Georgia Technical College,,"6,536",0,0,,0,0,0,23,0,22,1,0,,,,
,Young Harris College,,"1,218",0,0,,0,0,0,4,0,4,0,0,,,,
ILLINOIS,Benedictine University,Lisle,"6,307",0,0,0,,0,0,33,6,27,0,0,,,,
,Black Hawk College: ,Kewanee6,,0,0,0,,0,0,1,0,1,0,0,,,,
,,Moline,"6,307",0,0,0,,0,0,16,8,8,0,0,,,,
,Chicago State University,,"5,211",2,0,0,,2,0,23,1,22,0,0,,,,
,College of DuPage,,"29,476",0,0,0,,0,0,32,1,31,0,0,,,,
,College of Lake County,,"15,410",1,0,0,,1,0,47,2,44,1,0,,,,
,Eastern Illinois University,,"8,913",17,0,5,,5,7,57,5,52,0,1,,,,
,Elgin Community College,,"10,929",1,0,0,,0,1,9,0,9,0,0,,,,
,Illinois Central College,,"10,296",0,0,0,,0,0,39,6,33,0,0,,,,
,John Wood Community College,,"1,900",0,0,0,,0,0,2,0,2,0,0,,,,
,Joliet Junior College,,"15,776",2,0,0,,0,2,17,0,17,0,0,,,,
,Kankakee Community College,,"3,378",0,0,0,,0,0,1,0,1,0,0,,,,
,Lake Land College,,"5,593",1,1,0,,0,0,7,0,7,0,0,,,,
,Lewis University,,"6,689",5,0,4,,0,1,11,0,11,0,0,,,,
,Lincoln Land Community College,,"7,006",0,0,0,,0,0,12,0,12,0,0,,,,
,Loyola University,,"15,902",15,0,7,,7,1,126,1,124,1,0,,,,
,McHenry County College,,"6,567",0,0,0,,0,0,10,0,10,0,0,,,,
,Millikin University,,"2,190",0,0,0,,0,0,33,1,31,1,0,,,,
,Moraine Valley Community College,,"15,286",0,0,0,,0,0,67,0,67,0,0,,,,
,Morton College,,"4,653",0,0,0,,0,0,10,0,10,0,0,,,,
,Northeastern Illinois University,,"10,275",0,0,0,,0,0,35,0,35,0,0,,,,
,Northern Illinois University,,"20,611",17,0,7,,3,7,170,11,156,3,1,,,,
,Oakton Community College,,"10,589",0,0,0,,0,0,13,0,13,0,0,,,,
,Parkland College,,"8,443",1,0,0,,0,1,25,2,23,0,0,,,,
,Rend Lake College,,"2,970",0,0,0,,0,0,2,0,2,0,0,,,,
,Southern Illinois University:,Carbondale,"17,989",9,0,5,,0,4,219,35,184,0,0,,,,
,,Edwardsville,"13,972",10,0,2,,1,7,107,12,94,1,0,,,,
,,School of Medicine6,,1,0,0,,0,1,10,2,8,0,0,,,,
,South Suburban College,,"4,329",0,0,0,,0,0,19,3,16,0,0,,,,
,Southwestern Illinois College,,"10,545",2,0,1,,0,1,27,1,24,2,0,,,,
,University of Chicago,Cook County,"15,097",4,0,0,,4,0,266,16,248,2,0,,,,
,University of Illinois: ,Springfield,"5,431",3,0,0,,0,3,31,2,28,1,0,,,,
,,Urbana,"45,140",14,0,8,,4,2,322,5,313,4,1,,,,
,Western Illinois University,,"11,458",9,0,6,,0,3,89,10,79,0,3,,,,
INDIANA,Ball State University,,"20,655",10,0,6,,4,0,228,29,196,3,0,,,,
,Butler University,,"4,848",6,0,4,,1,1,121,10,109,2,0,,,,
,Indiana State University,,"13,183",9,0,,0,1,8,225,4,220,1,0,,,,
